Category Name,Invoice Sales €,Quantity #,Main Office Country
Bike Racks,1584 €,22,United Kingdom
Bike Racks,720 €,10,United States
Bottles and Cages,87.5844 €,30,United Kingdom
Bottles and Cages,71.85599999999999 €,24,United States
Bottom Brackets,777.516 €,14,United Kingdom
Bottom Brackets,542.652 €,8,United States
Brakes,383.4 €,6,United Kingdom
Brakes,447.3 €,7,United States
Caps,91.69799999999999 €,17,United Kingdom
Caps,186.7922 €,35,United States
Chains,48.576 €,4,United Kingdom
Chains,48.576 €,4,United States
Cleaners,141.0625 €,31,United Kingdom
Cleaners,114.48 €,24,United States
Cranksets,2924.004 €,16,United Kingdom
Cranksets,1044.864 €,6,United States
Derailleurs,803.532 €,13,United Kingdom
Derailleurs,493.098 €,8,United States
Gloves,528.984 €,36,United Kingdom
Gloves,308.574 €,21,United States
