Name,Color,Size,Weight
"Touring-3000 Yellow, 62",Yellow,62,13607.7
"Touring-3000 Yellow, 58",Yellow,58,13512.45
"Touring-3000 Yellow, 54",Yellow,54,13344.62
"Touring-3000 Yellow, 50",Yellow,50,13213.08
"Touring-3000 Yellow, 44",Yellow,44,13049.78
"Touring-3000 Blue, 62",Blue,62,13607.7
"Touring-3000 Blue, 58",Blue,58,13562.34
"Touring-3000 Blue, 54",Blue,54,13462.55
"Touring-3000 Blue, 50",Blue,50,13213.08
"Touring-3000 Blue, 44",Blue,44,13049.78
"Touring-2000 Blue, 60",Blue,60,12655.16
"Touring-2000 Blue, 54",Blue,54,12555.37
"Touring-2000 Blue, 50",Blue,50,12437.44
"Touring-2000 Blue, 46",Blue,46,12305.9
"Touring-1000 Yellow, 60",Yellow,60,11747.98
"Touring-1000 Yellow, 54",Yellow,54,11648.19
"Touring-1000 Yellow, 50",Yellow,50,11530.26
"Touring-1000 Yellow, 46",Yellow,46,11398.72
"Touring-1000 Blue, 60",Blue,60,11747.98
"Touring-1000 Blue, 54",Blue,54,11648.19
